"id","kjonn","aldersgruppe","landsdel","utdanning","venstre_hoyre","parti","tillit_nyheter","unngar_nyheter","ki_bruk","bruker_chatgpt","ki_konsekvenser","ki_eller_journalist","tillit_ki_redaksjoner","eksp_kilde","tillit_bilde"
176,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",6,"KrF",3,"Ja, noen ganger",3,0,2,2,2,"Forsker",2
177,"Mann","35-44","Agder og Rogaland","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Ja, men sjelden",2,1,3,3,3,"Gemini",2
178,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",6,"Venstre",4,"Nei, aldri",3,0,4,4,3,"ChatGPT",1
179,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",1,"MDG",3,"Ja, men sjelden",3,1,3,2,3,"Grok",1
180,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",3,"Ja, men sjelden",1,0,4,3,3,"Grok",2
181,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Høyre",3,"Ja, noen ganger",0,0,4,3,3,"Gemini",1
182,"Mann","35-44","Oslo og Akershus","Grunnskole/videregående",6,"Høyre",3,"Nei, aldri",1,0,4,4,3,"Gemini",3
183,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",2,"Nei, aldri",3,0,4,2,3,"Grok",1
184,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",3,NA,3,"Nei, aldri",2,0,3,3,4,"Grok",2
185,"Kvinne","25-34","Sør-Østlandet","Grunnskole/videregående",NA,NA,2,"Ja, noen ganger",3,1,3,NA,NA,"Gemini",NA
186,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",1,"MDG",3,"Ja, noen ganger",3,0,2,1,1,"Gemini",1
187,"Mann","35-44","Vestlandet","Universitet/høyskole 5+ år",1,NA,3,"Ja, men sjelden",0,0,1,2,2,"Gemini",2
188,"Kvinne","35-44","Vestlandet","Universitet/høyskole 5+ år",2,"Rødt",3,"Ja, noen ganger",1,0,2,2,2,"ChatGPT",2
189,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"MDG",3,"Nei, aldri",0,0,2,4,4,"Gemini",1
190,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",4,"MDG",4,"Ja, men sjelden",3,0,2,1,2,"Gemini",1
191,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",2,"MDG",4,"Ja, noen ganger",0,0,4,4,4,"Gemini",2
192,"Kvinne","65+","Agder og Rogaland","Grunnskole/videregående",10,"Fremskrittspartiet",3,"Nei, aldri",2,1,4,4,2,"Gemini",2
193,"Mann","18-24","Trøndelag","Universitet/høyskole 1-4 år",7,"Venstre",3,"Nei, aldri",3,1,3,3,3,"heiVG",2
194,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Høyre",3,"Nei, aldri",3,1,4,2,5,"ChatGPT",3
195,"Kvinne","55-64","Vestlandet","Universitet/høyskole 5+ år",NA,NA,3,"Ja, noen ganger",2,0,3,4,3,"Gemini",2
196,"Mann","35-44","Vestlandet","Grunnskole/videregående",4,"Annet parti",3,"Ja, noen ganger",4,1,3,2,3,"Gemini",3
197,"Mann","45-54","Oslo og Akershus","Grunnskole/videregående",NA,NA,4,"Ja, store deler av tiden",3,1,4,4,4,"Grok",3
198,"Mann","55-64","Agder og Rogaland","Grunnskole/videregående",3,"Arbeiderpartiet",3,"Nei, aldri",4,0,3,2,3,"Forsker",2
199,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",3,"Nei, aldri",0,0,3,3,3,"Gemini",3
200,"Kvinne","35-44","Vestlandet","Universitet/høyskole 1-4 år",NA,NA,4,"Ja, noen ganger",0,0,2,1,2,"Forsker",NA
201,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Høyre",3,"Ja, men sjelden",0,0,4,2,3,"Grok",1
202,"Kvinne","35-44","Oslo og Akershus","Grunnskole/videregående",NA,NA,2,"Nei, aldri",3,0,2,5,3,"Gemini",3
203,"Mann","35-44","Vestlandet","Grunnskole/videregående",3,"Arbeiderpartiet",4,"Nei, aldri",0,0,2,3,4,"Forsker",2
204,"Mann","25-34","Trøndelag","Universitet/høyskole 1-4 år",5,"Senterpartiet",2,"Nei, aldri",5,1,2,2,2,"heiVG",1
205,"Kvinne","55-64","Nord-Norge",NA,4,NA,3,"Nei, aldri",1,1,3,2,3,"Gemini",2
206,"Mann","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",3,"Ja, men sjelden",0,0,2,1,2,"Gemini",2
207,"Kvinne","65+","Trøndelag","Universitet/høyskole 5+ år",1,"SV",4,"Nei, aldri",1,0,2,3,2,"Grok",1
208,"Mann","65+","Vestlandet","Universitet/høyskole 5+ år",4,"KrF",3,"Nei, aldri",0,0,NA,1,2,"heiVG",NA
209,"Kvinne","25-34","Nord-Norge","Universitet/høyskole 5+ år",5,"Venstre",4,"Nei, aldri",3,1,NA,2,3,"Grok",2
210,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",2,NA,3,"Ja, noen ganger",1,0,4,4,3,"ChatGPT",3
211,"Mann","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",4,"Høyre",4,"Nei, aldri",3,0,2,3,3,"Grok",1
212,"Kvinne","25-34","Oslo og Akershus","Grunnskole/videregående",7,"MDG",2,"Ja, noen ganger",3,1,4,2,3,"Forsker",2
213,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 1-4 år",2,"Rødt",4,"Nei, aldri",1,0,2,3,3,"heiVG",2
214,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 1-4 år",4,"Rødt",3,"Ja, store deler av tiden",3,1,3,2,3,"ChatGPT",2
215,"Kvinne","55-64","Trøndelag","Universitet/høyskole 5+ år",3,NA,3,"Ja, noen ganger",3,0,NA,2,3,"ChatGPT",2
216,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 5+ år",4,NA,2,"Nei, aldri",NA,NA,2,2,3,"heiVG",2
217,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 1-4 år",5,"KrF",4,"Ja, men sjelden",0,0,2,2,3,"Grok",2
218,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",4,"Arbeiderpartiet",3,"Nei, aldri",0,0,4,4,4,"Forsker",4
219,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",NA,NA,4,"Nei, aldri",5,1,4,5,3,"ChatGPT",NA
220,"Kvinne","65+","Agder og Rogaland","Grunnskole/videregående",5,NA,3,"Ja, noen ganger",0,0,2,2,2,"ChatGPT",2
221,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",4,"Ja, men sjelden",3,1,5,4,4,"Gemini",3
222,"Mann","65+","Sør-Østlandet","Universitet/høyskole 5+ år",5,"Senterpartiet",3,"Nei, aldri",1,1,NA,2,4,"Forsker",2
223,"Kvinne","65+","Vestlandet","Universitet/høyskole 5+ år",5,"Senterpartiet",1,"Ja, noen ganger",1,0,1,3,1,"Grok",1
224,"Mann","25-34","Oslo og Akershus","Grunnskole/videregående",2,"Arbeiderpartiet",3,"Ja, store deler av tiden",2,1,4,3,3,"Grok",3
225,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",NA,NA,3,"Ja, noen ganger",4,1,4,NA,4,"Gemini",NA
226,"Kvinne","55-64","Sør-Østlandet","Grunnskole/videregående",7,NA,2,"Ja, store deler av tiden",3,1,2,2,3,"Forsker",2
227,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",6,"KrF",1,"Nei, aldri",0,0,2,3,1,"Grok",4
228,"Mann","55-64","Agder og Rogaland","Universitet/høyskole 5+ år",8,"Fremskrittspartiet",3,"Nei, aldri",5,0,4,2,1,"Gemini",2
229,"Kvinne","65+","Oslo og Akershus","Grunnskole/videregående",NA,NA,3,"Ja, noen ganger",0,0,2,2,2,"Gemini",2
230,"Kvinne","45-54","Oslo og Akershus",NA,7,"Høyre",3,"Nei, aldri",2,0,4,4,1,"ChatGPT",2
231,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Arbeiderpartiet",3,"Nei, aldri",2,1,NA,1,3,"Gemini",2
232,"Kvinne","55-64","Nord-Norge","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",3,"Nei, aldri",2,0,4,1,3,"ChatGPT",1
233,"Kvinne","25-34","Trøndelag","Universitet/høyskole 5+ år",8,NA,3,"Nei, aldri",3,1,3,3,3,"ChatGPT",2
234,"Kvinne","65+","Trøndelag","Universitet/høyskole 1-4 år",7,"Høyre",3,"Ja, noen ganger",1,1,2,4,1,"Grok",2
235,"Kvinne","25-34","Trøndelag","Universitet/høyskole 5+ år",2,"SV",4,"Ja, noen ganger",5,1,4,4,3,"Forsker",3
236,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",1,"MDG",3,"Ja, store deler av tiden",0,0,2,4,3,"Grok",1
237,"Kvinne","25-34","Sør-Østlandet","Grunnskole/videregående",2,"Rødt",2,"Ja, noen ganger",3,1,1,1,1,"ChatGPT",1
238,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Venstre",3,"Ja, noen ganger",2,0,NA,2,3,"Gemini",1
239,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",6,NA,3,"Ja, noen ganger",0,0,3,3,2,"Grok",2
240,"Kvinne","55-64","Oslo og Akershus","Grunnskole/videregående",8,"Høyre",4,"Ja, noen ganger",5,1,4,5,4,"heiVG",4
241,"Kvinne","65+","Vestlandet","Universitet/høyskole 1-4 år",3,NA,4,"Nei, aldri",0,0,NA,4,4,"heiVG",1
242,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",3,"Ja, men sjelden",0,0,2,2,2,"Gemini",2
243,"Kvinne","45-54","Agder og Rogaland","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Ja, noen ganger",0,0,1,2,2,"Grok",1
244,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Fremskrittspartiet",2,"Ja, noen ganger",3,1,4,4,1,"heiVG",1
245,"Mann","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",8,"Rødt",3,"Ja, store deler av tiden",5,1,2,4,3,"Gemini",1
246,"Mann","55-64","Vestlandet","Universitet/høyskole 5+ år",7,"Høyre",4,"Ja, store deler av tiden",2,0,4,1,3,"Forsker",3
247,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Ja, men sjelden",3,1,4,4,3,"ChatGPT",3
248,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",6,"Høyre",4,"Ja, men sjelden",2,1,5,5,4,"Forsker",4
249,"Mann","65+","Sør-Østlandet","Universitet/høyskole 5+ år",4,"MDG",4,"Nei, aldri",4,1,4,4,4,"Grok",3
250,"Kvinne","35-44","Agder og Rogaland","Universitet/høyskole 5+ år",4,"Rødt",3,"Ja, noen ganger",3,1,3,2,3,"ChatGPT",2
251,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",3,"Arbeiderpartiet",3,"Ja, men sjelden",3,1,3,1,3,"Gemini",2
252,"Mann","45-54","Nord-Norge","Universitet/høyskole 1-4 år",3,"SV",3,"Nei, aldri",5,0,3,1,1,"heiVG",3
253,"Mann","65+","Sør-Østlandet","Grunnskole/videregående",2,"SV",4,"Nei, aldri",0,0,4,1,5,"Gemini",1
254,"Kvinne","65+","Oslo og Akershus","Grunnskole/videregående",5,NA,3,"Ja, noen ganger",3,1,NA,2,3,"heiVG",3
255,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",3,NA,2,"Ja, noen ganger",0,0,1,1,3,"Gemini",1
256,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",5,NA,4,"Nei, aldri",3,0,NA,4,4,"Grok",2
257,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 5+ år",7,"Høyre",3,"Nei, aldri",3,0,4,5,4,"Forsker",4
258,"Kvinne","65+","Nord-Norge","Universitet/høyskole 1-4 år",6,"Høyre",3,"Nei, aldri",NA,NA,4,2,4,"heiVG",2
259,"Kvinne","65+","Vestlandet","Universitet/høyskole 5+ år",8,"Høyre",3,"Ja, men sjelden",1,1,4,4,NA,"heiVG",1
260,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",9,"KrF",3,"Ja, store deler av tiden",3,1,1,1,1,"ChatGPT",1
261,"Kvinne","18-24","Oslo og Akershus","Universitet/høyskole 1-4 år",3,NA,3,"Ja, noen ganger",3,1,1,2,3,"Gemini",2
262,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",NA,NA,1,"Ja, store deler av tiden",4,1,2,1,3,"Gemini",1
263,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",2,"SV",4,"Nei, aldri",3,0,2,1,4,"Forsker",3
264,"Mann","45-54","Agder og Rogaland","Universitet/høyskole 5+ år",5,"Arbeiderpartiet",4,"Nei, aldri",4,0,2,1,2,"ChatGPT",1
265,"Kvinne","35-44","Trøndelag","Universitet/høyskole 5+ år",8,"Høyre",3,"Nei, aldri",4,1,4,4,3,"Gemini",2
266,"Mann","35-44","Vestlandet","Grunnskole/videregående",5,NA,1,"Ja, store deler av tiden",2,1,2,2,2,"heiVG",3
267,"Mann","25-34","Vestlandet","Grunnskole/videregående",NA,NA,3,"Nei, aldri",1,0,3,NA,1,"Gemini",1
268,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",3,"SV",4,"Nei, aldri",2,1,3,3,4,"heiVG",3
269,"Kvinne","45-54","Vestlandet","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",2,"Ja, noen ganger",3,1,NA,3,3,"Gemini",3
270,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",9,"Høyre",4,"Ja, noen ganger",5,1,5,4,4,"heiVG",4
271,"Mann","65+","Agder og Rogaland","Grunnskole/videregående",2,"Rødt",3,"Nei, aldri",2,1,4,4,2,"heiVG",3
272,"Mann","45-54","Trøndelag","Grunnskole/videregående",9,"Fremskrittspartiet",4,"Nei, aldri",2,1,NA,5,3,"Forsker",2
273,"Mann","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",5,"Arbeiderpartiet",3,"Nei, aldri",2,1,4,1,2,"ChatGPT",1
274,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",2,"Nei, aldri",0,0,4,3,1,"ChatGPT",2
275,"Kvinne","35-44","Oslo og Akershus","Grunnskole/videregående",NA,"Høyre",3,"Ja, noen ganger",2,1,2,NA,NA,"Grok",NA
276,"Kvinne","25-34","Sør-Østlandet","Universitet/høyskole 5+ år",6,"Fremskrittspartiet",3,"Nei, aldri",3,1,4,4,3,"Grok",3
277,"Mann","55-64","Sør-Østlandet","Grunnskole/videregående",8,"Fremskrittspartiet",1,"Ja, store deler av tiden",2,1,1,1,1,"Forsker",2
278,"Mann","65+","Trøndelag","Universitet/høyskole 1-4 år",5,"Fremskrittspartiet",3,"Ja, noen ganger",0,0,3,3,2,"Forsker",3
279,"Mann","35-44","Sør-Østlandet","Grunnskole/videregående",NA,"Rødt",2,"Ja, noen ganger",3,1,2,3,2,"ChatGPT",NA
280,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",2,NA,4,"Nei, aldri",3,1,4,1,3,"heiVG",2
281,"Kvinne","35-44","Vestlandet","Universitet/høyskole 5+ år",10,"Fremskrittspartiet",3,"Nei, aldri",5,1,4,5,3,"Gemini",4
282,"Kvinne","35-44","Vestlandet","Universitet/høyskole 5+ år",NA,NA,3,"Ja, noen ganger",5,1,3,1,NA,"ChatGPT",2
283,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Venstre",4,"Ja, men sjelden",5,0,3,4,3,"heiVG",2
284,"Mann","25-34","Vestlandet","Grunnskole/videregående",0,"Rødt",3,"Ja, men sjelden",0,0,1,1,2,"Gemini",1
285,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 5+ år",5,"Høyre",2,"Ja, men sjelden",4,1,NA,2,2,"Gemini",1
286,"Kvinne","25-34","Trøndelag","Universitet/høyskole 5+ år",4,"Arbeiderpartiet",4,"Ja, noen ganger",4,0,2,3,4,"Forsker",4
287,"Mann","35-44","Vestlandet","Grunnskole/videregående",10,"Høyre",2,"Ja, men sjelden",4,1,4,1,3,"heiVG",3
288,"Kvinne","45-54","Nord-Norge","Universitet/høyskole 5+ år",3,"Arbeiderpartiet",3,"Ja, men sjelden",1,0,4,3,3,"heiVG",2
289,"Mann","55-64","Nord-Norge","Grunnskole/videregående",8,"Fremskrittspartiet",3,"Ja, men sjelden",3,1,4,5,2,"Grok",2
290,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",5,NA,3,"Nei, aldri",2,1,3,2,3,"ChatGPT",1
291,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",10,"Annet parti",4,"Nei, aldri",4,1,5,5,4,"ChatGPT",5
292,"Mann","18-24","Oslo og Akershus","Universitet/høyskole 1-4 år",1,"MDG",2,"Nei, aldri",3,1,2,3,3,"Gemini",3
293,"Mann","25-34","Trøndelag","Grunnskole/videregående",5,"Senterpartiet",3,"Nei, aldri",0,0,4,4,4,"Gemini",3
294,"Mann","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"MDG",4,"Ja, men sjelden",1,0,1,1,1,"heiVG",1
295,"Mann","55-64","Nord-Norge","Grunnskole/videregående",8,"Fremskrittspartiet",4,"Nei, aldri",0,0,2,4,2,"heiVG",2
296,"Mann","65+","Vestlandet","Universitet/høyskole 1-4 år",8,"Høyre",3,"Ja, men sjelden",1,0,3,2,2,"heiVG",1
297,"Mann","45-54","Agder og Rogaland","Grunnskole/videregående",10,"Fremskrittspartiet",1,"Nei, aldri",2,0,3,4,3,"Grok",4
298,"Kvinne","55-64","Oslo og Akershus","Universitet/høyskole 5+ år",0,"MDG",3,"Ja, men sjelden",3,1,4,2,3,"ChatGPT",3
299,"Kvinne","45-54","Trøndelag","Grunnskole/videregående",6,"Arbeiderpartiet",4,"Ja, noen ganger",3,1,3,3,3,"Grok",2
300,"Mann","35-44","Nord-Norge","Grunnskole/videregående",7,NA,3,"Ja, noen ganger",1,1,2,2,3,"Forsker",3
301,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",1,"Arbeiderpartiet",3,"Ja, store deler av tiden",2,0,3,3,3,"heiVG",3
302,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",0,"Rødt",4,"Nei, aldri",3,1,3,2,4,"Grok",2
303,"Mann","25-34","Sør-Østlandet","Grunnskole/videregående",3,"Fremskrittspartiet",2,"Ja, store deler av tiden",0,0,3,4,2,"ChatGPT",2
304,"Kvinne","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",2,"SV",4,"Ja, men sjelden",5,1,4,2,4,"Forsker",5
305,"Mann","35-44","Nord-Norge","Universitet/høyskole 5+ år",0,"Rødt",3,"Ja, store deler av tiden",2,1,2,1,2,"heiVG",NA
306,"Kvinne","55-64","Sør-Østlandet","Universitet/høyskole 5+ år",2,NA,2,"Ja, men sjelden",3,1,4,4,3,"Forsker",NA
307,"Kvinne","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",7,"Høyre",4,"Nei, aldri",0,0,2,3,4,"ChatGPT",1
308,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 1-4 år",1,"SV",3,"Nei, aldri",3,1,4,5,3,"ChatGPT",NA
309,"Kvinne","65+","Sør-Østlandet","Universitet/høyskole 1-4 år",NA,NA,2,"Ja, noen ganger",2,0,2,2,2,"Grok",2
310,"Kvinne","65+","Sør-Østlandet","Grunnskole/videregående",5,"Fremskrittspartiet",2,"Nei, aldri",0,0,2,5,1,"Gemini",1
311,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",6,"Venstre",2,"Ja, noen ganger",1,0,1,1,2,"ChatGPT",1
312,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",NA,NA,2,"Nei, aldri",0,0,2,1,2,"Forsker",1
313,"Kvinne","65+","Nord-Norge","Grunnskole/videregående",9,"Fremskrittspartiet",4,"Nei, aldri",0,0,3,4,3,"heiVG",2
314,"Kvinne","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",8,"Høyre",2,"Nei, aldri",3,1,5,5,3,"heiVG",2
315,"Mann","25-34","Trøndelag","Universitet/høyskole 5+ år",2,"Arbeiderpartiet",4,"Nei, aldri",2,0,1,4,3,"ChatGPT",NA
316,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 5+ år",2,"SV",3,"Ja, men sjelden",1,1,3,3,3,"Grok",1
317,"Kvinne","65+","Vestlandet","Grunnskole/videregående",0,"Rødt",4,"Nei, aldri",0,0,NA,2,3,"Grok",3
318,"Kvinne","45-54","Trøndelag","Universitet/høyskole 5+ år",3,"MDG",4,"Ja, noen ganger",3,1,2,2,4,"Forsker",4
319,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",5,NA,3,"Ja, men sjelden",3,1,NA,3,2,"Grok",2
320,"Mann","65+","Agder og Rogaland","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Ja, men sjelden",1,1,4,1,3,"heiVG",2
321,"Kvinne","45-54","Oslo og Akershus","Universitet/høyskole 1-4 år",4,"Arbeiderpartiet",3,"Ja, store deler av tiden",2,1,NA,2,2,"ChatGPT",NA
322,"Mann","55-64","Vestlandet","Universitet/høyskole 1-4 år",5,"MDG",4,"Nei, aldri",1,0,NA,4,4,"ChatGPT",NA
323,"Mann","45-54","Agder og Rogaland","Universitet/høyskole 1-4 år",3,"Arbeiderpartiet",4,"Ja, noen ganger",3,1,NA,2,3,"ChatGPT",2
324,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",NA,NA,3,"Ja, store deler av tiden",0,0,4,4,1,"Forsker",2
325,"Mann","35-44","Nord-Norge","Universitet/høyskole 1-4 år",0,"MDG",3,"Ja, noen ganger",2,1,2,4,1,"Forsker",1
326,"Kvinne","55-64","Vestlandet","Grunnskole/videregående",NA,NA,3,"Ja, men sjelden",3,1,4,1,4,"Grok",1
327,"Mann","25-34","Nord-Norge","Universitet/høyskole 5+ år",2,"MDG",3,"Ja, noen ganger",0,0,2,2,2,"Grok",1
328,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 5+ år",1,"MDG",3,"Ja, noen ganger",4,1,4,2,2,"Grok",3
329,"Mann","25-34","Agder og Rogaland","Universitet/høyskole 1-4 år",3,"MDG",4,"Nei, aldri",5,0,4,4,3,"heiVG",2
330,"Kvinne","45-54","Vestlandet","Grunnskole/videregående",3,"Fremskrittspartiet",3,"Ja, noen ganger",1,1,NA,2,3,"ChatGPT",2
331,"Mann","45-54","Nord-Norge","Universitet/høyskole 1-4 år",7,"Senterpartiet",3,"Ja, noen ganger",1,0,2,2,4,"Gemini",3
332,"Mann","25-34","Vestlandet","Universitet/høyskole 5+ år",0,"Rødt",3,"Ja, men sjelden",0,0,1,1,3,"Gemini",2
333,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",5,"KrF",2,"Ja, noen ganger",4,0,4,1,1,"Gemini",3
334,"Mann","65+","Vestlandet","Grunnskole/videregående",4,"Arbeiderpartiet",3,"Nei, aldri",0,0,4,4,3,"ChatGPT",2
335,"Mann","65+","Oslo og Akershus","Universitet/høyskole 1-4 år",8,"Fremskrittspartiet",4,"Ja, men sjelden",1,1,4,2,4,"ChatGPT",2
336,"Mann","65+","Oslo og Akershus","Grunnskole/videregående",8,"Høyre",3,"Nei, aldri",0,0,4,4,2,"heiVG",1
337,"Mann","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",6,"MDG",3,"Ja, store deler av tiden",5,0,4,4,3,"Grok",1
338,"Mann","65+","Vestlandet","Grunnskole/videregående",2,"MDG",4,"Ja, men sjelden",4,1,3,5,4,"Gemini",3
339,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",7,"Høyre",3,"Ja, men sjelden",3,1,NA,3,4,"ChatGPT",1
340,"Kvinne","35-44","Sør-Østlandet","Grunnskole/videregående",NA,"Annet parti",2,"Ja, noen ganger",1,1,2,1,1,"Grok",2
341,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",3,"Senterpartiet",3,"Nei, aldri",1,1,3,2,3,"Grok",1
342,"Mann","25-34","Sør-Østlandet","Universitet/høyskole 1-4 år",4,NA,3,"Nei, aldri",2,1,4,2,1,"Forsker",2
343,"Kvinne","45-54","Sør-Østlandet","Grunnskole/videregående",8,"Annet parti",2,"Ja, store deler av tiden",5,1,2,2,2,"Grok",NA
344,"Mann","55-64","Oslo og Akershus","Universitet/høyskole 1-4 år",2,"Arbeiderpartiet",2,"Ja, noen ganger",2,1,3,3,1,"Grok",1
345,"Kvinne","25-34","Vestlandet","Universitet/høyskole 1-4 år",0,"Rødt",4,"Ja, men sjelden",4,1,2,1,2,"Grok",1
346,"Mann","55-64","Vestlandet","Universitet/høyskole 1-4 år",9,"Fremskrittspartiet",2,"Nei, aldri",2,1,2,4,2,"Grok",3
347,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",8,NA,4,"Nei, aldri",5,1,4,5,NA,"ChatGPT",2
348,"Mann","25-34","Vestlandet","Universitet/høyskole 1-4 år",6,NA,3,"Ja, men sjelden",4,1,2,3,3,"Grok",3
349,"Mann","65+","Agder og Rogaland","Grunnskole/videregående",7,"Høyre",4,"Nei, aldri",0,0,2,1,1,"heiVG",1
350,"Kvinne","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",NA,NA,3,"Ja, noen ganger",0,0,4,3,3,"Forsker",NA
351,"Kvinne","25-34","Nord-Norge","Universitet/høyskole 5+ år",4,NA,3,"Ja, men sjelden",3,1,3,4,3,"ChatGPT",1
352,"Kvinne","25-34","Oslo og Akershus","Universitet/høyskole 5+ år",4,"SV",3,"Nei, aldri",1,1,2,2,1,"Gemini",2
353,"Mann","65+","Oslo og Akershus","Universitet/høyskole 5+ år",9,"Fremskrittspartiet",3,"Nei, aldri",1,1,4,5,3,"Grok",3
354,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",5,"KrF",3,"Nei, aldri",3,0,1,1,3,"Forsker",2
355,"Kvinne","35-44","Sør-Østlandet","Universitet/høyskole 1-4 år",6,"Arbeiderpartiet",3,"Ja, men sjelden",3,1,3,2,2,"Forsker",3
356,"Mann","35-44","Vestlandet","Universitet/høyskole 1-4 år",3,"Rødt",4,"Nei, aldri",1,0,4,NA,2,"Forsker",4
357,"Mann","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",5,"KrF",4,"Ja, men sjelden",1,1,3,3,4,"Grok",1
358,"Mann","45-54","Vestlandet","Grunnskole/videregående",6,"Senterpartiet",2,"Ja, store deler av tiden",5,1,2,1,2,"Forsker",3
359,"Kvinne","45-54","Sør-Østlandet","Universitet/høyskole 5+ år",6,"Venstre",3,"Ja, men sjelden",4,0,4,5,3,"Gemini",2
360,"Mann","35-44","Oslo og Akershus","Universitet/høyskole 5+ år",3,"MDG",3,"Ja, noen ganger",3,0,2,1,3,"Grok",2
361,"Kvinne","55-64","Sør-Østlandet","Grunnskole/videregående",8,"Høyre",3,"Ja, noen ganger",0,0,3,2,1,"Grok",1
